name,city,iata_code,icao,latitude,longitude,url,city_code,country,state,county
Humboldt,Humboldt,HUD,0K7,42.733334,-94.21667,http://www.iowadot.gov/aviation/airports/AirportIntermediate.aspx?FAACode=0K7,HUD,US,Iowa,Humboldt County
Humera Airport,,HUE,HAHU,14.25,36.583332,,HUE,ET,,
Hulman Field,Seelyville,HUF,KHUF,39.44968565,-87.30348729752123,http://huf.com/,HUF,US,Indiana,Vigo County
Huehuetenango,Huehuetenango,HUG,MGHT,15.333333,-91.46667,,HUG,GT,Huehuetenango,Municipio de Huehuetenango
Huahine Airport,Fare,HUH,NTTH,-16.689207,-151.0283868,,HUH,PF,Iles Sous-le-Vent,
Phu Bai International Airport,Phu Vang,HUI,VVPB,16.39973765,107.705353995889,,HUI,VN,Thua Thien-Hue,
Hugo,Hugo,HUJ,KHHW,34.0326919,-95.5413914,,HUJ,US,Oklahoma,Choctaw County
Hukuntsi,Hukuntsi,HUK,FBHK,-23.9866674,21.75946734798346,,HUK,BW,Kgalagadi,
International,Houlton,HUL,KHUL,46.13333,-67.8,,HUL,US,Maine,Aroostook County
Terrebonne,Presquille,HUM,KHUM,29.5665962,-90.65990048690243,http://www.houma-airport.com/,HUM,US,Louisiana,Terrebonne Parish
Hualien Airport,Hualien City,HUN,RCYU,24.02372475,121.61998199610741,http://www.hulairport.gov.tw/,HUN,TW,,Hualien County
Holingol Huolinhe Airport,Mositai,HUO,ZBHZ,45.486205850000005,119.4150518376749,,HUO,CN,Inner Mongolia,
Houn,Hun,HUQ,HLON,29.5,15.5,,HUQ,LY,Al Jufrah,
Hughes Municipal Airport,,HUS,PAHU,66.04056,-154.26334,,HUS,US,,
Hutchinson,Hutchinson,HUT,KHUT,38.068054,-97.861115,http://www.hutchgov.com/department/?fDD=20-0,HUT,US,Kansas,Reno County
Huanuco Airport,Huanuco,HUU,SPNC,-9.8786937,-76.2050280466014,,HUU,PE,Huanuco,Provincia de Huanuco
Hudiksvall,Hudiksvall,HUV,ESNH,61.76782215,17.081638942254507,,HUV,SE,Gaevleborg,Hudiksvalls Kommun
Humaita,,HUW,SWHT,53.583447,-0.348669,,HUW,BR,,
Huatulco Airport,Sector H Tres,HUX,MMBT,15.7759827,-96.25869871122916,,HUX,MX,Oaxaca,Santa Maria Huatulco
Humberside Airport,Croxton,HUY,EGNJ,53.5713963,-0.3534607323460707,http://www.humbersideairport.com/,HUY,GB,England,North Lincolnshire
Huizhou Airport,Longfeng,HUZ,ZGHZ,23.083332,114.36667,,HUZ,CN,Guangdong,
Analalava,,HVA,FMNL,-14.6292429,47.7577163,,HVA,MG,,
Hervey Bay Airport,,HVB,YHBA,-25.3209078,152.8841465,,HVB,AU,,
Khovd Airport,Khovd,HVD,ZMKD,48.016666,91.65,,HVD,MN,Hovd,
Intermediate,Ferron,HVE,KHVE,38.36667,-110.71667,,HVE,US,Utah,Emery County
Valan Airport,Honningsvag,HVG,ENHV,70.98333,25.833332,https://avinor.no/en/airport/honningsvag-airport/,HVG,NO,Finnmark Fylke,Nordkapp
Holmavik,,HVK,BIHK,65.7,-22.466667,,HVK,IS,,
New Haven Airport,East Haven,HVN,KHVN,41.265278,-72.888336,,HVN,US,Connecticut,New Haven County
Havre City County Airport,Havre,HVR,KHVR,48.543,-109.7624,,HVR,US,Montana,Hill County
Municipal,North Hartsville,HVS,KHVS,34.38333,-80.066666,http://hartsvillesc.gov/visitors/hartsville-airport/,HVS,US,South Carolina,Darlington County
Hawabango,,HWA,AYHU,-7.433333,145.96666,,HWA,PG,,
Hayward Executive Airport,Hayward,HWD,KHWD,37.65906510000001,-122.1213368359861,http://www.hayward-ca.gov/CITY-GOVERNMENT/DEPARTMENTS/PUBLIC-WORKS-ET/HEA/,HWD,US,California,Alameda County
SPB,,HWI,,58.11778,-134.75417,,HWI,US,,
Wilpena Pound,,HWK,YHAW,-31.716667,138.41667,,HWK,AU,,
Hwange Nat Park,Sua,HWN,FVWN,-19.3625,26.518333,,HWN,ZW,Central,
North Perry,Hollywood,HWO,KHWO,26.0,-80.15,http://www.broward.org/airport/northperryairport/Pages/Default.aspx,HWO,US,Florida,Broward County
Delingha Airport,Keluke,HXD,ZLDL,37.123800599999996,97.26338813123307,,HXD,CN,Qinghai Sheng,
Hay,Hay,HXX,YHAY,-34.5311898,144.8326332,,HXX,AU,New South Wales,Hay
Barnstable Municipal Airport,Hyannis,HYA,KHYA,41.6707658,-70.28439042526892,,HYA,US,Massachusetts,Barnstable County
High Wycombe,High Wycombe,HYC,EGTB,51.61667,-0.75,,HYC,GB,England,Buckinghamshire
Rajiv Gandhi International Airport,Balapur,HYD,VOHS,17.231163600000002,78.43178336758146,http://www.hyderabad.aero/,HYD,IN,Telangana,Rangareddi
Hayfields,,HYF,AYHF,-3.633333,143.05,,HYF,PG,,
Hydaburg Sea Plane Base,,HYG,PAHY,55.20667,-132.82666,,HYG,US,,
SPB,,HYL,HYL,55.48263,-132.65062,,HYL,US,,
